GEOID,YEAR,mean_mig,mean_base,SSP2,Inundated,mean_inun
01001,2020,57060.54604342335,57058.97985513095,NA,1,57058.97985513095
01001,2025,58964.12157539492,58973.23809472288,NA,1,58973.23809472288
01001,2030,60653.273054976584,60678.10059716658,NA,1,60678.10059716658
01001,2035,62159.117767446085,62205.456979724026,NA,1,62205.456979724026
01001,2040,63447.18645720683,63524.31779488414,NA,1,63524.31779488414
01001,2045,64563.087561055196,64685.63205795968,NA,1,64685.63205795968
01001,2050,65681.37165289698,65872.28672240328,NA,1,65872.28672240328
01001,2055,66911.022404092,67205.73123329543,NA,1,67205.73123329543
01001,2060,68338.12659615751,68790.94737731486,NA,1,68790.94737731486
01001,2065,69959.08691416403,70651.88496347448,NA,1,70651.88496347448
01001,2070,71592.79565560725,72650.96751555608,NA,1,72650.96751555608
01001,2075,73186.96439115876,74803.87862609417,NA,1,74803.87862609417
01001,2080,74646.01992794605,77127.08398341404,NA,1,77127.08398341404
01001,2085,75849.11994769561,79683.35394208934,NA,1,79683.35394208934
01001,2090,76494.41900928687,82449.06095356928,NA,1,82449.06095356928
01001,2095,76189.36106736981,85453.76858929063,NA,1,85453.76858929063
01001,2100,74202.53921786729,88615.06010802703,NA,1,88615.06010802703
01003,2020,207580.30562794607,207540.73496691947,SSP2,0.999261468772629,207387.45965319488
01003,2025,210975.15587049045,210834.06636400454,SSP2,0.9991572132102772,210656.3781980494
01003,2030,213510.24293198626,213195.46535673036,SSP2,0.9990529576479255,212993.5602217673
01003,2035,215467.51112572203,214885.39525698425,SSP2,0.9989369601862518,214656.96352643304
01003,2040,217715.3553940591,216744.05173195028,SSP2,0.9988209627245782,216488.50241573236
01003,2045,220539.07160533662,219030.85529290666,SSP2,0.9986567816986986,218736.64903952755
01003,2050,224336.06765716357,222105.28378962513,SSP2,0.9984926006728191,221770.48243427734
01003,2055,229472.15905981872,226285.25607338993,SSP2,0.9982750667855813,225894.9291192557
01003,2060,235987.24044577114,231574.54112830316,SSP2,0.9980575328983435,231124.71520058025
01003,2065,243525.1794897058,237620.67258605207,SSP2,0.9977842779173358,237094.17121450562
01003,2070,251961.78389398032,244351.8942515122,SSP2,0.9975110229363281,243743.7079912554
01003,2075,261121.17077746996,251782.47195437702,SSP2,0.997166948367482,251069.15921116725
01003,2080,270683.5846436202,259875.72998564312,SSP2,0.9968228737986359,259050.0719948071
01003,2085,280398.1466422282,268795.1722651362,SSP2,0.9963534642466716,267815.00105914933
01003,2090,289144.44925436634,278379.1421789994,SSP2,0.9958840546947073,277233.34885565634
01003,2095,294759.88445674616,288521.4181437868,SSP2,0.9953135536962968,287169.2780101876
01003,2100,293619.4092188666,299028.97285006434,SSP2,0.9947430526978863,297456.9932979864
01005,2020,26887.81448365265,26887.536881602067,NA,1,26887.536881602067
01005,2025,27338.64336484564,27340.532017562648,NA,1,27340.532017562648
01005,2030,27659.443441581756,27664.301321048635,NA,1,27664.301321048635
01005,2035,27872.90288150838,27881.10476675232,NA,1,27881.10476675232
01005,2040,28115.917401968414,28127.11898373669,NA,1,28127.11898373669
01005,2045,28378.649829680522,28390.664702718153,NA,1,28390.664702718153
01005,2050,28668.88625304511,28675.696464667457,NA,1,28675.696464667457
01005,2055,29075.604585656118,29063.52206810693,NA,1,29063.52206810693
01005,2060,29582.17203570285,29523.11504562361,NA,1,29523.11504562361
01005,2065,30177.290557866927,30017.66462385464,NA,1,30017.66462385464
01005,2070,30929.565853228138,30572.012872094012,NA,1,30572.012872094012
01005,2075,31965.990343683712,31238.464485821663,NA,1,31238.464485821663
01005,2080,33460.14443630366,32065.00197888147,NA,1,32065.00197888147
01005,2085,35685.41395683002,33110.24959660286,NA,1,33110.24959660286
01005,2090,38882.31682731134,34265.3762850936,NA,1,34265.3762850936
01005,2095,43576.37393522523,35488.389853089284,NA,1,35488.389853089284
01005,2100,50682.11468729956,36773.871704831516,NA,1,36773.871704831516
01007,2020,23250.866852289255,23250.866852289255,NA,1,23250.866852289255
01007,2025,23773.68218339592,23777.564398291146,NA,1,23777.564398291146
01007,2030,24181.7800590519,24191.43403558185,NA,1,24191.43403558185
01007,2035,24438.696590754338,24455.834139207527,NA,1,24455.834139207527
01007,2040,24621.58563540778,24648.122309057428,NA,1,24648.122309057428
01007,2045,24742.045513336616,24779.984637307574,NA,1,24779.984637307574
01007,2050,24851.54215236145,24902.808947278456,NA,1,24902.808947278456
01007,2055,25032.615836570378,25097.9432635707,NA,1,25097.9432635707
01007,2060,25307.03884511585,25384.04597345954,NA,1,25384.04597345954
01007,2065,25645.303911315765,25725.24321129706,NA,1,25725.24321129706
01007,2070,26061.706562246618,26124.865310054178,NA,1,26124.865310054178
01007,2075,26618.62346605901,26625.630170200577,NA,1,26625.630170200577
01007,2080,27397.083887183086,27273.100323659648,NA,1,27273.100323659648
01007,2085,28501.94309934188,28108.330527037753,NA,1,28108.330527037753
01007,2090,29987.975004429332,29079.124669558707,NA,1,29079.124669558707
01007,2095,31973.985912696688,30129.893716773866,NA,1,30129.893716773866
01007,2100,34693.740735143365,31212.48950800427,NA,1,31212.48950800427
01009,2020,59164.08341830075,59163.973070713146,NA,1,59163.973070713146
01009,2025,60438.68321391941,60450.57450892327,NA,1,60450.57450892327
01009,2030,61499.64224702115,61530.413608435134,NA,1,61530.413608435134
01009,2035,62335.05764467596,62392.41854695441,NA,1,62392.41854695441
01009,2040,63215.04838226468,63309.24128903255,NA,1,63309.24128903255
01009,2045,64157.06093243828,64302.039121298905,NA,1,64302.039121298905
01009,2050,65208.29006799493,65424.49311792919,NA,1,65424.49311792919
01009,2055,66464.10195123027,66780.74862520954,NA,1,66780.74862520954
01009,2060,67958.63339897181,68416.20782202593,NA,1,68416.20782202593
01009,2065,69600.27226200662,70253.64548538208,NA,1,70253.64548538208
01009,2070,71359.5151290418,72284.31355093587,NA,1,72284.31355093587
01009,2075,73212.29204266428,74515.77150590112,NA,1,74515.77150590112
01009,2080,75062.08064633176,76903.84793040664,NA,1,76903.84793040664
01009,2085,76924.70373586967,79542.93430371593,NA,1,79542.93430371593
01009,2090,78637.4556256945,82375.95442166575,NA,1,82375.95442166575
01009,2095,80019.78076231478,85363.69162356811,NA,1,85363.69162356811
01009,2100,80827.81180309424,88458.16605006182,NA,1,88458.16605006182
01011,2020,10683.435918318915,10683.370029016642,NA,1,10683.370029016642
01011,2025,10918.017060605223,10918.549998379018,NA,1,10918.549998379018
01011,2030,11078.221382151636,11079.600886255454,NA,1,11079.600886255454
01011,2035,11170.488317461984,11172.942718780218,NA,1,11172.942718780218
01011,2040,11243.727088269434,11247.577256099456,NA,1,11247.577256099456
01011,2045,11299.479965957227,11305.186981671643,NA,1,11305.186981671643
01011,2050,11377.070858829908,11385.31639696547,NA,1,11385.31639696547
01011,2055,11505.461411071816,11517.277906973364,NA,1,11517.277906973364
01011,2060,11664.98390979089,11681.947884706793,NA,1,11681.947884706793
01011,2065,11829.213626630824,11853.747248530384,NA,1,11853.747248530384
01011,2070,12012.307068106964,12048.388225294435,NA,1,12048.388225294435
01011,2075,12233.741274933125,12287.904296512666,NA,1,12287.904296512666
01011,2080,12511.934597186339,12594.947077548708,NA,1,12594.947077548708
01011,2085,12867.329526982503,12997.073712565192,NA,1,12997.073712565192
01011,2090,13247.623459060418,13453.185985160078,NA,1,13453.185985160078
01011,2095,13598.318225694196,13926.236131331052,NA,1,13926.236131331052
01011,2100,13894.112527329426,14419.098641555842,NA,1,14419.098641555842
01013,2020,20651.102763809613,20650.307398509012,NA,1,20650.307398509012
01013,2025,21089.09558309055,21089.19251507936,NA,1,21089.19251507936
01013,2030,21436.056341052572,21437.669520820345,NA,1,21437.669520820345
01013,2035,21711.650533500313,21714.67889855804,NA,1,21714.67889855804
01013,2040,21983.30683105278,21987.02700549429,NA,1,21987.02700549429
01013,2045,22302.6702401588,22305.745049692898,NA,1,22305.745049692898
01013,2050,22729.184486963983,22729.697341516556,NA,1,22729.697341516556
01013,2055,23300.745614777697,23296.038088085723,NA,1,23296.038088085723
01013,2060,23964.013048129524,23950.748987859366,NA,1,23950.748987859366
01013,2065,24654.516186676232,24628.884884578685,NA,1,24628.884884578685
01013,2070,25393.249919245693,25351.519310614167,NA,1,25351.519310614167
01013,2075,26180.815754591513,26119.961883740536,NA,1,26119.961883740536
01013,2080,27024.4489576833,26943.00271169372,NA,1,26943.00271169372
01013,2085,27959.598648713978,27859.09506237608,NA,1,27859.09506237608
01013,2090,28964.599641015822,28854.424177107787,NA,1,28854.424177107787
01013,2095,29995.49030382386,29901.44536849052,NA,1,29901.44536849052
01013,2100,31011.153160051796,30987.129825233176,NA,1,30987.129825233176
01015,2020,119394.58320062341,119390.96044791867,NA,1,119390.96044791867
01015,2025,122986.7009821304,122983.19387847828,NA,1,122983.19387847828
01015,2030,126036.42346392365,126030.08322008389,NA,1,126030.08322008389
01015,2035,128440.96707938887,128429.60042680976,NA,1,128429.60042680976
01015,2040,130453.32889780172,130435.49823895,NA,1,130435.49823895
01015,2045,132360.73738405472,132335.5469732008,NA,1,132335.5469732008
01015,2050,134714.5333995478,134682.81778756017,NA,1,134682.81778756017
01015,2055,137759.20663976902,137725.28607927597,NA,1,137725.28607927597
01015,2060,141380.9451483199,141357.48345858508,NA,1,141357.48345858508
01015,2065,145252.32931970322,145268.78414356857,NA,1,145268.78414356857
01015,2070,149177.0452453719,149294.41073730908,NA,1,149294.41073730908
01015,2075,153099.24987607897,153435.3639771051,NA,1,153435.3639771051
01015,2080,157185.61278366664,157961.9598778842,NA,1,157961.9598778842
01015,2085,161624.5642067841,163249.44669236665,NA,1,163249.44669236665
01015,2090,165975.33073332734,169193.5423609478,NA,1,169193.5423609478
01015,2095,169435.9079416973,175576.74276106755,NA,1,175576.74276106755
01015,2100,170744.49593566323,182140.16163509942,NA,1,182140.16163509942
01017,2020,34811.36847559097,34811.36847559097,NA,1,34811.36847559097
01017,2025,35471.277929355754,35474.04827819105,NA,1,35474.04827819105
01017,2030,35957.93949923688,35960.5825374045,NA,1,35960.5825374045
01017,2035,36248.07185860074,36246.85400332586,NA,1,36246.85400332586
01017,2040,36530.14180357237,36521.00740814598,NA,1,36521.00740814598
01017,2045,36848.068484815696,36826.486329307016,NA,1,36826.486329307016
01017,2050,37322.701699609795,37283.915480589385,NA,1,37283.915480589385
01017,2055,38059.81887122575,37999.78031240112,NA,1,37999.78031240112
01017,2060,38996.831809481235,38916.09875783102,NA,1,38916.09875783102
01017,2065,40034.39288958855,39945.640913303294,NA,1,39945.640913303294
01017,2070,41106.87890389527,41048.535719037856,NA,1,41048.535719037856
01017,2075,42147.83353640789,42205.716119692624,NA,1,42205.716119692624
01017,2080,43120.435978201785,43466.23982433513,NA,1,43466.23982433513
01017,2085,43984.13145917278,44944.95515801737,NA,1,44944.95515801737
01017,2090,44425.75812303009,46594.3067436979,NA,1,46594.3067436979
01017,2095,43919.67856131989,48322.08710537633,NA,1,48322.08710537633
01017,2100,41725.635356297935,50074.42075830866,NA,1,50074.42075830866
01019,2020,25981.753920136438,25981.753920136438,NA,1,25981.753920136438
01019,2025,26046.491488624848,26047.131527695055,NA,1,26047.131527695055
01019,2030,25960.71934305506,25961.29119606595,NA,1,25961.29119606595
01019,2035,25803.173858153183,25804.266948273027,NA,1,25804.266948273027
01019,2040,25675.128206335852,25678.668703488558,NA,1,25678.668703488558
01019,2045,25618.58627512534,25627.68926021295,NA,1,25627.68926021295
01019,2050,25710.065289209084,25729.23333339156,NA,1,25729.23333339156
01019,2055,25965.350439238042,26000.9476131306,NA,1,26000.9476131306
01019,2060,26408.66374547865,26469.671521930522,NA,1,26469.671521930522
01019,2065,27015.884777530617,27114.737419715108,NA,1,27114.737419715108
01019,2070,27702.185786891678,27856.013352646096,NA,1,27856.013352646096
01019,2075,28421.38732233104,28653.706145818785,NA,1,28653.706145818785
01019,2080,29162.599439836427,29506.586252886056,NA,1,29506.586252886056
01019,2085,29955.53117793209,30459.195409589116,NA,1,30459.195409589116
01019,2090,30773.584744181248,31502.49917005079,NA,1,31502.49917005079
01019,2095,31596.579083569424,32637.353708619823,NA,1,32637.353708619823
01019,2100,32365.87127799083,33832.472600191766,NA,1,33832.472600191766
01021,2020,45310.732910010156,45310.336964765425,NA,1,45310.336964765425
01021,2025,46634.90266587441,46639.6557133183,NA,1,46639.6557133183
01021,2030,47745.393235377334,47755.039997868094,NA,1,47755.039997868094
01021,2035,48663.8668562132,48675.670615845644,NA,1,48675.670615845644
01021,2040,49566.240686095814,49575.24809080103,NA,1,49575.24809080103
01021,2045,50484.2530887487,50482.61660163901,NA,1,50482.61660163901
01021,2050,51557.615158352026,51533.590893747096,NA,1,51533.590893747096
01021,2055,52832.03592904086,52767.657614211996,NA,1,52767.657614211996
01021,2060,54286.57668100195,54155.11533929817,NA,1,54155.11533929817
01021,2065,55881.65123476,55644.83247091335,NA,1,55644.83247091335
01021,2070,57662.925790412264,57267.738682459785,NA,1,57267.738682459785
01021,2075,59646.597657273756,59018.873397102245,NA,1,59018.873397102245
01021,2080,61889.383444994426,60922.4214346686,NA,1,60922.4214346686
01021,2085,64504.22742120342,63043.247482776795,NA,1,63043.247482776795
01021,2090,67463.87482893988,65292.31247500733,NA,1,65292.31247500733
01021,2095,70821.66197311133,67644.25076380976,NA,1,67644.25076380976
01021,2100,74659.49564642862,70078.39379416463,NA,1,70078.39379416463
01023,2020,13370.099645458205,13369.604371319248,SSP2,1,13369.604371319248
01023,2025,13445.234010859775,13445.571385407931,SSP2,1,13445.571385407931
01023,2030,13477.345103722744,13479.63425886989,SSP2,1,13479.63425886989
01023,2035,13479.16790811919,13484.999489002676,SSP2,1,13484.999489002676
01023,2040,13496.159555592187,13507.858371582071,SSP2,1,13507.858371582071
01023,2045,13532.320005264573,13553.288574086804,SSP2,1,13553.288574086804
01023,2050,13620.098950197966,13655.412415593293,SSP2,1,13655.412415593293
01023,2055,13810.779162378974,13868.061372175587,SSP2,1,13868.061372175587
01023,2060,14096.703689949747,14187.258624484115,SSP2,1,14187.258624484115
01023,2065,14422.037514489495,14562.356072353878,SSP2,1,14562.356072353878
01023,2070,14771.491575706406,14985.621738606082,SSP2,1,14985.621738606082
01023,2075,15123.40440317152,15446.456372246257,SSP2,1,15446.456372246257
01023,2080,15441.460810930888,15925.010755866619,SSP2,1,15925.010755866619
