type,ind,time,coefhat,tstat,y,yadj,GEOID,YEAR,perdrop
AO,32,2000,-840.1891799079604,-8.0762501960654145,19913,20753.18917990796,01007,1999,0.9595151775168425
TC,5,1973,-5325.15603594875,-7.616930705067309,43865,49190.15603594875,01045,1972,0.8917434611905467
LS,10,1978,-3148.9435166078874,-10.883343490013457,54713,57861.94351660789,01047,1977,0.9455783313655189
LS,4,1972,-686.34797341615,-5.979740225139342,20583,21269.34797341615,01099,1971,0.9677306528496317
AO,9,1977,-1255.7430456197876,-8.382082033190773,37003,38258.74304561979,01123,1976,0.9671776188746598
LS,4,1997,-1045.898073920639,-5.620860713978586,5373,6418.898073920639,02016,1996,0.8370595603986888
AO,7,1975,-4457.952512555067,-6.905814936202385,69438,73895.95251255507,04910,1974,0.9396725752767358
TC,7,1975,-779.9064919553589,-6.905398480739132,15718,16497.90649195536,05071,1974,0.9527269419101354
LS,25,1993,-2883.86209404662,-5.800480329339918,51788,54671.86209404662,05093,1992,0.9472514382428424
AO,10,1978,-519.0482770879964,-5.000355944451125,20035,20554.048277087997,06021,1977,0.9747471510190725
AO,10,1978,-984.9325112398782,-7.585622571751448,16506,17490.932511239876,06027,1977,0.9436889650905149
TC,26,1994,-16906.989304579325,-9.777950453014038,352363,369269.9893045793,06053,1993,0.9542151006194165
AO,10,1978,-5025.361829400066,-6.825811456920713,174870,179093.29339049483,06087,1977,0.9764184726823557
TC,6,1974,-2458.388612094761,-7.521331382419656,146220,148678.38861209477,09005,1973,0.9834650574636724
AO,9,1977,-2778.7472573694363,-12.653370140211045,149087,152708.97455131795,09005,1976,0.9762818487783061
AO,9,1977,-2267.177920584392,-12.330653818668909,88881,91148.17792058439,09015,1976,0.9751264592194071
AO,12,1980,-7143.166666667753,-5.980823063053621,637161,644304.1666666678,11001,1979,0.9889133626069451
LS,22,1990,-13479.999999999996,-6.516293583604984,605321,618801,11001,1989,0.9782159369490353
TC,21,1989,-15401.235459741276,-6.157296621370263,659497,674828.5469202924,12031,1988,0.9772808263813663
TC,32,2000,-925.8021782543705,-9.817135136820365,9839,10764.802178254371,12037,1999,0.9139972882990313
LS,7,1975,-8984.879691799593,-5.655124238694958,128132,137116.87969179958,12073,1974,0.9344728401638436
LS,45,2013,-2353.0329528140905,-5.841720306417834,71833,74186.03295281409,13031,2012,0.9682819951525009
LS,25,1993,-4049.5533516784067,-5.312143169161693,102246,106295.5533516784,13057,1992,0.9619028903468758
LS,6,1974,-4901.5378252765595,-7.59295127019105,92145,97046.53782527657,13095,1973,0.9494929140686983
AO,11,1979,-1623.0064929767782,-15.208946284252105,15590,17213.00649297678,13195,1978,0.9057104583305075
TC,45,2013,-600.6145164158796,-9.845553055566436,5558,6158.61451641588,13259,2012,0.9024757086492534
LS,6,1974,-806.0610488782501,-8.660930020416536,6243,7049.06104887825,13301,1973,0.8856498697785399
AO,37,2005,-789.7091762983699,-7.870131830423179,20155,20944.70917629837,13303,2004,0.962295529164376
AO,5,2004,-3.3334666365782835,-5.663352483524554,117,120.33346663657828,15005,2003,0.9722980918795786
AO,10,1978,-926.1254000555656,-6.91004510519405,8739,9665.125400055565,16013,1977,0.9041786462439234
AO,4,1972,-408.28743805551994,-5.071365323581392,5997,6405.28743805552,16021,1971,0.9362577492417006
AO,4,1972,-951.546998228874,-5.136329869150786,39168,40119.54699822887,17055,1971,0.9762822098098247
LS,12,1980,-524.2511493188817,-6.891014172833263,8848,9372.251149318881,17153,1979,0.9440634762164924
LS,17,1985,-1384.0200364710886,-6.438461486455938,29146,30530.020036471087,18077,1984,0.9546669135880769
TC,7,1975,-3906.801595589911,-6.741465257545661,89834,93740.80159558992,18105,1974,0.9583233604888043
AO,10,1978,-479.9024484636472,-6.776219673496426,29760,30239.902448463647,18135,1977,0.9841301588428891
TC,6,1974,-547.6083572561317,-5.709185514661604,19984,20531.608357256133,18153,1973,0.9733285211890085
AO,10,1978,-369.6664776385447,-5.189684533056615,21697,22066.666477638544,19083,1977,0.9832477425616982
TC,6,1974,-1319.6934358331669,-10.37829095897144,14649,15968.693435833167,19101,1973,0.9173574568804844
LS,12,1980,-450.0093655310191,-5.627177467751214,11665,12115.00936553102,19133,1979,0.9628552193437537
LS,5,1973,-608.7112809997997,-5.8132745838543896,13218,13826.7112809998,19147,1972,0.9559757003217193
TC,7,1975,-572.9925927844972,-5.834902353182873,19645,20217.992592784496,19171,1974,0.9716592737802768
AO,10,1978,-488.94707377501726,-6.711382260153682,29737,30225.947073775016,20079,1977,0.9838235978981369
AO,3,1971,-242.67306696887752,-5.785153697452194,3798,4040.6730669688777,20097,1970,0.9399424148039476
LS,40,2008,-369.6616387999588,-5.141422178868488,2418,2787.661638799959,20097,2007,0.8673936486211821
LS,17,1985,-542.3748463270166,-5.4052608164760585,14921,15458.853211372903,20139,1984,0.965207431365141
AO,6,1974,-170.01004563710714,-6.223677195469109,8028,8198.010045637107,20157,1973,0.9792620349705982
AO,6,1974,-325.49999999999994,-5.786498821018973,4534,4859.5,20165,1973,0.9330178001852042
TC,4,1972,-1872.4109556650228,-8.493635810821992,45775,47647.41095566502,20169,1971,0.9607027765389548
