groups,a,b,c,rsq,n,sex
ccr1,-0.1388490099175351,1.7446555697010913,0.1562886090745986,0.9308810281874591,49,1
ccr1,-0.1300740798537358,1.6419243476161833,0.14642478184923496,0.943868458615098,49,2
ccr2,-0.1240379625142425,1.6403884227300214,0.13629452814699608,0.9538926496651514,49,1
ccr2,-0.10970413375373214,1.6208228247664704,0.07901030450618492,0.9342839750806045,49,2
ccr3,-0.12131259296129485,1.4489711258762095,0.15413100268209892,0.9627535282317317,49,1
ccr3,-0.11533087561385824,1.5482808962741568,0.058427765706374674,0.9646398453647144,49,2
ccr4,-0.16408576919898632,1.5989319087382339,0.10959478708100659,0.8058664394502674,49,1
ccr4,-0.13092266118638937,1.6514829325323954,0.016845316774068392,0.9297336130117452,49,2
ccr5,-0.17947774711780454,1.5644950054359563,0.24432327715967866,0.6502536687698002,49,1
ccr5,-0.13426191818547642,1.8195865859004787,0.011328180264066354,0.9192520749010986,49,2
ccr6,-0.17678122997745996,1.5693950716846836,0.18672322946227174,0.7099498408364775,49,1
ccr6,-0.12895646004667963,1.7032302234980274,-0.003443775199028657,0.9344265165225425,49,2
ccr7,-0.15743984303111747,1.4913637195395268,0.13749868006421792,0.7520519505525592,49,1
ccr7,-0.12616836763574332,1.6112964704913681,0.034699062795214494,0.9591881026948141,49,2
ccr8,-0.13904674668606237,1.4232007816758498,0.05900909815206695,0.8737672031844567,49,1
ccr8,-0.11890267408916266,1.5999146323582452,0.010690342407613412,0.9748305151116041,49,2
ccr9,-0.13035776940120875,1.5276562147708255,0.015350713883386304,0.936158565337614,49,1
ccr9,-0.11517156635962822,1.6655882500911992,-0.035061822888669346,0.9641207717520677,49,2
ccr10,-0.11425072714925857,1.5488196435782233,-0.056720223516978203,0.9706258410870479,49,1
ccr10,-0.11424550101810879,1.652959268040766,-0.018002141362262983,0.9628561117382407,49,2
ccr11,-0.10869002767396832,1.6554966611463597,-0.1332448326625593,0.9685450198852597,49,1
ccr11,-0.11278335839902077,1.8322719708829955,-0.09511833627518299,0.9767924044423225,49,2
ccr12,-0.1192789973890317,1.6909932625490367,-0.07505072182127222,0.9650532904728701,49,1
ccr12,-0.11579057777123918,1.7735604211571583,-0.09705666584435733,0.9575884249726601,49,2
ccr13,-0.07959317992958619,1.347448141293643,-0.041257521044125646,0.8961757779258896,49,1
ccr13,-0.09431256280771945,1.4405387649700747,0.09003122453568747,0.8884223414997807,49,2
ccr14,-0.0722094460079312,1.3029672940235117,-0.03574884341917053,0.8089355120969718,49,1
ccr14,-0.09290039415800636,1.441991233928529,-0.03990236642678305,0.9116855990865664,49,2
ccr15,-0.09882800828294765,1.593423380698568,-0.0019319075649387664,0.9369269666875373,49,1
ccr15,-0.09636669012506824,1.619195104500526,0.1185683940324597,0.825642709909597,49,2
ccr16,-0.08920602608113605,1.614296198455267,0.03134239592989014,0.8386646357536743,49,1
ccr16,-0.08901171880680121,1.4152634509726247,0.02458058839261241,0.7945948406111075,49,2
ccr17,-0.06636673756341448,0.5260474601250715,0.48305005070105955,0.4778139332364705,49,1
ccr17,-0.07633410071247981,0.557325393529938,0.608483826710971,0.6507283646260158,49,2
